Provincia,Partido,Localidad,Link Indec,HASTA 512 kbps,+ 512 Kbps - 2 Mbps,+ 2 Kbps - 6 Mbps,+ 6 Kbps - 13 Mbps,+ 13 Kbps - 20 Mbps,+ 20 Kbps - 40 Mbps,+ 40 Kbps - 60 Mbps,+ 60 Kbps - 80 Mbps,+ 80 Kbps - 100 Mbps,Total
ENTRE RIOS,Victoria,Molino Doll,30105040,0,7,3,0,0,0,0,0,0,10
ENTRE RIOS,Victoria,Rincón de Nogoyá,30105040,0,16,3,0,0,0,0,0,0,19
ENTRE RIOS,Victoria,Victoria,30105060,0,195,1035,2397,1049,33,1,0,2,4712
ENTRE RIOS,Villaguay,Estación Raíces,30113010,0,1,12,23,7,0,0,0,0,43
ENTRE RIOS,Villaguay,Ingeniero Miguel Sajaroff,30113020,0,0,44,0,0,0,0,0,0,44
ENTRE RIOS,Villaguay,Jubileo,30113030,0,0,16,0,0,0,0,0,0,16
ENTRE RIOS,Villaguay,Paso de la Laguna,30113050,0,0,39,0,0,0,0,0,0,39
ENTRE RIOS,Villaguay,Villa Clara,30113060,1,43,84,60,10,0,0,0,0,198
ENTRE RIOS,Villaguay,Villa Domínguez,30113070,0,0,144,0,0,0,0,0,0,144
ENTRE RIOS,Villaguay,Villaguay,30113080,1,126,1453,1496,119,0,2866,0,0,6061
FORMOSA,Bermejo,Fortín Soledad,34007003,1,0,4,0,0,0,0,0,0,5
FORMOSA,Bermejo,Guadalcazar,34007005,5,0,9,0,0,0,0,0,0,14
FORMOSA,Bermejo,La Rinconada,34007007,5,0,3,0,0,0,0,0,0,8
FORMOSA,Bermejo,Laguna Yema,34007010,2,0,76,0,0,0,0,0,0,78
FORMOSA,Bermejo,Lamadrid,34007015,0,0,7,0,0,0,0,0,0,7
FORMOSA,Bermejo,Los Chiriguanos,34007020,0,0,40,0,0,0,0,0,0,40
FORMOSA,Bermejo,Pozo de Maza,34007030,4,0,13,0,0,0,0,0,0,17
FORMOSA,Bermejo,Pozo del Mortero,34007040,0,0,13,0,0,0,0,0,0,13
FORMOSA,Bermejo,Vaca Perdida,34007050,5,0,0,0,0,0,0,0,0,5
FORMOSA,Formosa,Colonia Pastoril,34014010,0,0,74,0,0,0,0,0,0,74
FORMOSA,Formosa,Formosa,34014020,157,244,9682,17760,4261,503,7793,0,8633,49033
FORMOSA,Formosa,Gran Guardia,34014030,0,0,69,0,0,0,0,0,0,69
FORMOSA,Formosa,Mariano Boedo,34014040,0,0,31,0,0,0,0,0,0,31
FORMOSA,Formosa,Mojón de Fierro,34014050,1,0,28,0,0,0,0,0,0,29
FORMOSA,Formosa,San Hilario,34014060,1,0,28,0,0,0,0,0,0,29
FORMOSA,Formosa,Villa del Carmen,34014070,2,0,81,8,0,0,0,0,0,91
FORMOSA,Laishi,Banco Payaguá,34021010,0,0,32,0,0,0,0,0,0,32
FORMOSA,Laishi,General Lucio Victorio Mansilla,34021020,2,0,170,9,2,0,0,0,0,183
FORMOSA,Laishi,Herradura,34021030,0,0,116,0,0,0,0,0,0,116
FORMOSA,Laishi,Otros,Sin Datos,0,0,132,0,0,0,0,0,0,132
FORMOSA,Laishi,San Francisco de Laishi,34021040,3,0,207,1,0,0,0,0,0,211
FORMOSA,Laishi,Tatané,34021050,0,0,43,0,0,0,0,0,0,43
FORMOSA,Laishi,Villa Escolar,34021060,0,0,102,0,0,0,0,0,0,102
FORMOSA,Matacos,Ingeniero Guillermo N. Juárez,34028010,1,0,281,170,17,0,0,0,0,469
FORMOSA,OTROS,Otros,Sin Datos,10,0,0,0,0,0,0,0,0,10
FORMOSA,Patiño,Bartolomé de las Casas,34035010,1,0,6,0,0,0,0,0,0,7
FORMOSA,Patiño,Comandante Fontana,34035030,0,2,669,37,2,0,0,0,0,710
FORMOSA,Patiño,Estanislao del Campo,34035050,0,1,165,19,9,0,0,0,0,194
FORMOSA,Patiño,Fortín Cabo 1º Lugones,34035060,0,0,145,0,0,0,0,0,0,145
FORMOSA,Patiño,Fortín Sargento 1º Leyes,34035070,1,0,6,0,0,0,0,0,0,7
FORMOSA,Patiño,Ibarreta,34035080,3,103,455,166,34,0,0,0,0,761
FORMOSA,Patiño,Juan G. Bazán,34035090,0,0,11,0,0,0,0,0,0,11
FORMOSA,Patiño,Las Lomitas,34035100,5,0,1003,480,88,5,4,0,0,1585
FORMOSA,Patiño,Posta Cambio Zalazar,34035110,0,0,58,0,0,0,0,0,0,58
FORMOSA,Patiño,Pozo del Tigre,34035120,0,0,209,16,1,0,0,0,0,226
FORMOSA,Patiño,San Martín I,34035130,0,0,5,0,0,0,0,0,0,5
FORMOSA,Patiño,San Martín II,34035140,0,0,370,0,0,0,0,0,0,370
FORMOSA,Patiño,Subteniente Perín,34035150,1,0,71,0,0,0,0,0,0,72
FORMOSA,Patiño,Villa General Güemes,34035160,0,0,447,0,1,0,0,0,0,448
FORMOSA,Patiño,Villa General Manuel Belgrano,34035170,0,0,447,2,0,0,0,0,0,449
FORMOSA,Pilagás,Buena Vista,34042010,0,0,212,0,202,0,0,0,0,414
FORMOSA,Pilagás,El Espinillo,34042020,2,0,300,0,0,0,0,0,0,302
FORMOSA,Pilagás,Laguna Gallo,34042030,0,0,5,0,0,0,0,0,0,5
FORMOSA,Pilagás,Misión Tacaagle,34042040,1,0,149,0,0,0,0,0,0,150
FORMOSA,Pilagás,Tres Lagunas,34042060,0,24,97,0,0,0,0,0,0,121
FORMOSA,Pilcomayo,Clorinda,34049010,1,657,1930,748,357,84,0,0,0,3777
FORMOSA,Pilcomayo,Laguna Blanca,34049020,315,41,40,0,592,0,0,0,0,988
FORMOSA,Pilcomayo,Laguna Naick-Neck,34049030,2,101,177,0,198,0,0,0,0,478
